Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,GitHub ID,Integration,Owned By,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
3158425,Handle promotion,handling promotion,,,,epic,,,"Nov 20, 2016",,,,This epic allows the staff to handle promotion records,https://www.pivotaltracker.com/epic/show/3158425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3158413,Handle reservation,handle reservation,,,,epic,,,"Nov 20, 2016",,,,"This epic allows the staff to handle reservation for members and non members customers
",https://www.pivotaltracker.com/epic/show/3158413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3158393,Handle payment,handle payment,,,,epic,,,"Nov 20, 2016",,,,"This epic allows the staff to handle payment for both members and non members customers

",https://www.pivotaltracker.com/epic/show/3158393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3158383,Ordering food,ordering food,,,,epic,,,"Nov 19, 2016",,,,"This epic allows the staff to create order for both members or non members customers
",https://www.pivotaltracker.com/epic/show/3158383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3158379,Create Membership,create membership,,,,epic,,,"Nov 19, 2016",,,,This epic is about allowing staff to create membership for customers,https://www.pivotaltracker.com/epic/show/3158379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134650231,Delete reservation,handle reservation,1,"Nov 14, 2016","Nov 20, 2016",feature,2,unstarted,"Nov 20, 2016",,,AdelinaTang,This user story allows the staff to delete the reservation record for the customers,https://www.pivotaltracker.com/story/show/134650231,,,,"User clicks ""Delete Reservation"" link",not completed,Connect to database,not completed,"Retrieve all the valid reservation id from the ""Reservation"" table ",not completed,Bind the retrieved data in a drop down list,not completed,"User selects the reservation id and clicks ""Ok""",not completed,"Retrieve the reservation details from the ""Reservation"" table according to the selected reservation id",not completed,Display the reservation details in the form with text fields,not completed,"User clicks ""Delete"" button",not completed,"Delete the reservation record from the ""Reservation"" table according to the selected reservation id",not completed,"Display a message ""Reservation is deleted successfully"" message",not completed
134650207,Update reservation,handle reservation,1,"Nov 14, 2016","Nov 20, 2016",feature,2,unstarted,"Nov 20, 2016",,,AdelinaTang,"This user story allows the staff to update reservation details for the customer
",https://www.pivotaltracker.com/story/show/134650207,,,,"User clicks ""Update Reservation"" link",not completed,Connect to database,not completed,"Retrieve all the valid reservation id from the ""Reservation"" table ",not completed,Bind the retrieved data in a drop down list,not completed,"User selects the reservation id and clicks ""Ok""",not completed,"Retrieve the reservation details from the ""Reservation"" table according to the selected reservation id",not completed,Display the reservation details in the form with text fields,not completed,User enters the updated reservation details in the text fields,not completed,"User clicks ""Update"" reservation button",not completed,"Update the reservation details record in the ""Reservation"" table according to the reservation id",not completed,"Display a message ""Reservation is updated successfully"" message",not completed
134650163,Search reservation,handle reservation,1,"Nov 14, 2016","Nov 20, 2016",feature,2,unstarted,"Nov 20, 2016",,,AdelinaTang,"This user story allows the staff to search reservation record
",https://www.pivotaltracker.com/story/show/134650163,,,,"User clicks ""Search Reservation"" link",not completed,Display a search text field for the user to enter the reservation id,not completed,User enters reservation id in the text field,not completed,"User clicks ""Search"" button",not completed,Connect to database,not completed,"Retrieve the reservation details from the ""Reservation"" table according to the user's entered reservation id",not completed,Display the details in a table form,not completed
134650137,Add new reservation for non members,handle reservation,1,"Nov 14, 2016","Nov 20, 2016",feature,2,unstarted,"Nov 20, 2016",,,AdelinaTang,"This user story allows the staff to add new reservation for non members
",https://www.pivotaltracker.com/story/show/134650137,,,,"User clicks ""Create Reservation"" link",not completed,Connect to database,not completed,"Display a question ""Are you a member?"" together with ""Yes"" and ""No"" button",not completed,"User selects ""No""",not completed,"Display the text fields that are to be filled by the user such as name, contact number, date, time, and number of people",not completed,"User clicks ""Reserve"" button",not completed,"Add a new reservation record in the ""Reservation"" table",not completed,"Display a message ""Reservation is created successfully""",not completed
134650121,Add new reservation for members,handle reservation,1,"Nov 14, 2016","Nov 20, 2016",feature,2,unstarted,"Nov 20, 2016",,,AdelinaTang,"This user story allows the staff to add reservation for member
",https://www.pivotaltracker.com/story/show/134650121,,,,"User clicks ""Create Reservation"" link",not completed,Connect to database,not completed,"Display a question ""Are you a member?"" together with ""Yes"" and ""No"" button",not completed,"User selects ""Yes""",not completed,"Retrieve all the member id from ""Member"" table",not completed,Display the retrieved member id in a drop down list,not completed,"User selects the member id and clicks ""Ok""",not completed,"Retrieve the member details such as name and contact number from the ""Member"" table according to the selected member id",not completed,"Display the name and contact number in text fields together with other text fields that are to be filled by the user such as date, time, number of people",not completed,"User clicks ""Reserve"" button",not completed,"Add a new reservation record in the ""Reservation"" table",not completed,"Display a message ""Reservation is created successfully""",not completed
134649945,Search payment,handle payment,2,"Nov 21, 2016","Nov 27, 2016",feature,2,unstarted,"Nov 20, 2016",,,AdelinaTang,This user story allows the staff to search payment transaction ,https://www.pivotaltracker.com/story/show/134649945,,,,"User clicks ""Search Payment"" link",not completed,Display a search text field for the user to enter the payment id,not completed,User enters payment id in the text field,not completed,"User clicks ""Search"" button",not completed,Connect to database,not completed,"Retrieve the payment details from the ""Payment"" table according to the user's entered payment id",not completed,Display the details in a table form,not completed
134649893,View payment,handle payment,2,"Nov 21, 2016","Nov 27, 2016",feature,2,unstarted,"Nov 20, 2016",,,AdelinaTang,"This user story allows the staff to view all the payment records or transactions of the customers
",https://www.pivotaltracker.com/story/show/134649893,,,,"User clicks ""Read Payment"" link",not completed,Connect to database,not completed,"Retrieve all the payment details from the ""Payment"" table",not completed,"Display the retrieved payment details in a table form consisting transaction id, member id, staff id, order id, payment method, discount, price before deduction, GST tax, price after deduction, grand total, loyalty points used, loyalty point amount, and loyalty point earned",not completed
134649887,Add new payment for non members,handle payment,2,"Nov 21, 2016","Nov 27, 2016",feature,2,unstarted,"Nov 20, 2016",,,AdelinaTang,This user story allows the staff to create a new payment transaction for non members,https://www.pivotaltracker.com/story/show/134649887,,,,"User clicks ""Check Out"" link",not completed,Display a search text field for the user to search the seat number,not completed,User enters the seat number in the text field,not completed,"Retrieve the order list from the ""Order"" table according to the seat number provided by the user",not completed,Display the order list details and computed total price,not completed,"Display  a question ""Are you a member?"" together with buttons labelled with ""Yes"" and ""No""",not completed,"User chooses ""No""",not completed,"Display the subtotal price, grandtotal price and GST tax",not completed,"Display a question ""Payment Method?"" together with radio buttons labelled with ""Cash"" and ""Credit Card""",not completed,"User selects the payment method and clicks ""Confirm""",not completed,"If user chooses ""Cash"", display a text field for the user to enter the cash amount and generate the change amount and click ""Confirm"" button",not completed,"If user chooses ""Credit Card"", display a text field for the user to enter the credit card number and click ""Confirm"" button",not completed,"Add a new payment record according to the customer's payment details in the ""Payment"" table",not completed,"After user has made the payment, display ""Thank you, have a nice day"" message",not completed
134649729,Add new payment for members,handle payment,2,"Nov 21, 2016","Nov 27, 2016",feature,3,unstarted,"Nov 20, 2016",,,AdelinaTang,This user story allows the staff to create a new payment transaction for members,https://www.pivotaltracker.com/story/show/134649729,,,,"User clicks ""Check Out"" link",not completed,Display a search text field for the user to search the seat number,not completed,User enters the seat number in the text field,not completed,"Retrieve the order list from the ""Order"" table according to the seat number provided by the user",not completed,Display the order list details together with the computed total price,not completed,"Display  a question ""Are you a member?"" together with buttons labelled with ""Yes"" and ""No""",not completed,"User chooses ""Yes""",not completed,"Retrieve all the member id from the ""Member"" table and bind it to a drop down list. ",not completed,"User chooses the member id from the drop down list and clicks ""Search""",not completed,"Retrieve the  selected member details such as member's loyalty point balance from the ""Member"" table",not completed,"Display the offered discount for member, GST tax, current loyalty point balance, computed total price and computed grandtotal in a form",not completed,"Display a question ""Use loyalty point balance?"" together with 2 buttons labelled with ""Yes"" and ""No""",not completed," If user chooses ""Yes"", display a text field for the user to enter the amount of loyalty point balance to use.  Else, proceed to the payment method option",not completed,"User clicks ""Proceed"" button",not completed,"Update the member's loyalty point details in the ""Member"" table",not completed,"Displays the loyalty point balance details such as initial loyalty point balance, loyalty point used, loyalty point amount, new loyalty point balance, loyalty point earned",not completed,"Displays the payment method in radio buttons labelled with ""Cash"" and ""Credit Card""",not completed,"User selects the payment method and clicks ""Confirm""",not completed,"If user chooses ""Cash"", display a text field for the user to enter the cash amount and generate the change amount and click ""Confirm"" button",not completed,"If user chooses ""Credit Card"", display a text field for the user to enter the credit card number and click ""Confirm"" button",not completed,"Add a new payment record according to the customer's payment details in the ""Payment"" table",not completed,"After user has made the payment, display ""Thank you, have a nice day"" message",not completed
